kind	branch	head	date	author	subject	upstream	track
local	a	d1bdc86f	2026-05-26	RaphaÃ«l Barman	2	origin/a	[behind 40]
local	codex/admin-restaurant-sheet-display	abd79a4d	2026-06-07	RaphaÃ«l Barman	fix: show admin restaurant sheet in dialog	origin/codex/admin-restaurant-sheet-display
local	codex/admin-security-business-audit-hardening	4e9c8df5	2026-06-03	RaphaÃ«l Barman	fix(admin): harden audit and sensitive business mutations	origin/codex/admin-security-business-audit-hardening
local	codex/ajouter-revenus-compta-admin	8dd29e97	2026-05-16	RaphaÃ«l Barman	2	origin/codex/ajouter-revenus-compta-admin
local	codex/audit-low-risk-cleanup	a1c5ea16	2026-06-03	RaphaÃ«l Barman	fix(audit): clean low-risk copy and dead code	origin/codex/audit-low-risk-cleanup
local	codex/chef-table-vip-miamz	62a17129	2026-06-07	RaphaÃ«l Barman	feat: finalize TOK dashboard and ad delivery fixes
local	codex/continuer-audit-production	6e9f085e	2026-05-31	mtnrconcept	Merge pull request #66 from mtnrconcept/a
local	codex/designnouveau	8dd29e97	2026-05-16	RaphaÃ«l Barman	2
local	codex/execute-plan-20260607-031639	f26cc392	2026-06-07	RaphaÃ«l Barman	fix: improve launch readiness and modal dropdown layering
local	codex/fix-frontend-10k-public-images	2ab0d0bc	2026-06-02	RaphaÃ«l Barman	fix(frontend): optimize added public images	origin/codex/fix-frontend-10k-public-images
local	codex/fix-photo-studio-edge-errors	67ff23c0	2026-06-02	RaphaÃ«l Barman	Merge origin/main into codex/fix-photo-studio-edge-errors	origin/codex/fix-photo-studio-edge-errors
local	codex/fix-photo-studio-source-fidelity-prompt	0bbe3046	2026-06-02	RaphaÃ«l Barman	fix(photo): enforce source-fidelity edit prompt
local	codex/hardening-10k-supabase-reliability	3f125a3c	2026-06-02	RaphaÃ«l Barman	fix(frontend): optimize added public images	origin/codex/hardening-10k-supabase-reliability
local	codex/integration-open-prs	fefc24e4	2026-06-07	RaphaÃ«l Barman	fix: tolerate duplicate payment transaction history	origin/main	[behind 98]
local	codex/livreur	28bd09e1	2026-05-31	RaphaÃ«l Barman	2	origin/codex/livreur
local	codex/local-git-auto-sync	deec24cc	2026-06-02	RaphaÃ«l Barman	feat(dev): add safe local git auto sync	origin/codex/local-git-auto-sync
local	codex/newux	356f3fdd	2026-04-25	RaphaÃ«l Barman	2	origin/codex/newux
local	codex/plan-2-alternative-commission-page	3c703223	2026-06-07	RaphaÃ«l Barman	feat: add commission alternative landing page	origin/codex/plan-2-alternative-commission-page
local	codex/plan-2-fk-indexes	10300247	2026-06-07	RaphaÃ«l Barman	perf: add plan 2 foreign key index migration	origin/codex/plan-2-fk-indexes
local	codex/plan-2-google-business	ab411e83	2026-06-07	RaphaÃ«l Barman	feat: add Google Business restaurateur acquisition page	origin/codex/plan-2-google-business
local	codex/plan-2-security-definer-revokes	75b7d91f	2026-06-07	RaphaÃ«l Barman	docs: classify plan 2 security definer rpc exposure	origin/codex/plan-2-security-definer-revokes
local	codex/plan-completion-20260607-remaining	92d54c9f	2026-06-07	RaphaÃ«l Barman	feat: enrich SEO prerender and legal readiness
local	codex/plan-continuation-20260607-0400	d2841452	2026-06-07	RaphaÃ«l Barman	feat: harden launch analytics and SEO readiness
local	codex/production-reliability-priorities-ai-payments	7fcf83b0	2026-06-03	RaphaÃ«l Barman	Polish homepage hero responsive design	origin/codex/production-reliability-priorities-ai-payments	[ahead 4, behind 5]
local	codex/restaurateur-onboarding-payments	b9637c58	2026-06-15	RaphaÃ«l Barman	Add restaurateur onboarding subscriptions
local	codex/sauvegarde-changements-20260607-031126	040381dd	2026-06-07	RaphaÃ«l Barman	fix: improve modal dropdown layering	origin/codex/sauvegarde-changements-20260607-031126
local	codex/social-cross-post	65c700cc	2026-06-07	RaphaÃ«l Barman	feat: add restaurateur social cross-posting	origin/codex/social-cross-post
local	codex/ss	7c070b32	2026-05-31	RaphaÃ«l Barman	2	origin/codex/ss
local	codex/tok-ai-platform	b2db178f	2026-06-02	RaphaÃ«l Barman	scsc	origin/codex/tok-ai-platform
local	codex/tokone	0f53207e	2026-05-31	mtnrconcept	Merge pull request #68 from mtnrconcept/codex/tokone	origin/codex/tokone	[ahead 1]
local	main	1ff0c94c	2026-06-15	RaphaÃ«l Barman	Add progressive reservation offers	origin/main
local	production	b5826dc2	2026-04-23	RaphaÃ«l Barman	rrr	origin/production
local	seo/tok-local-positioning	25630c8c	2026-06-08	RaphaÃ«l Barman	Fix mobile cart suggestion cards
remote	origin/a	0f30b9e4	2026-05-31	mtnrconcept	Merge branch 'main' into a
remote	origin/accueil	7e007504	2026-04-02	RaphaÃ«l Barman	2
remote	origin/audit/tok-production-hardening	2cd377fa	2026-06-02	mtnrconcept	feat(actualites): align social cards with news feed mockup
remote	origin/chatgpt/match-groupes-prepay-ui	762640ce	2026-06-01	mtnrconcept	Test write on chatgpt branch
remote	origin/codex/add-admin-notification-for-restaurateur-signup	83d6d91b	2026-06-13	mtnrconcept	Ensure restaurateur signup dossiers reach admin
remote	origin/codex/adjust-header-images-alignment	e84a1db3	2026-06-11	mtnrconcept	Fix homepage section header illustration placement
remote	origin/codex/admin-restaurant-sheet-display	abd79a4d	2026-06-07	RaphaÃ«l Barman	fix: show admin restaurant sheet in dialog
remote	origin/codex/admin-security-business-audit-hardening	4e9c8df5	2026-06-03	RaphaÃ«l Barman	fix(admin): harden audit and sensitive business mutations
remote	origin/codex/ajouter-deploiement-des-details-de-la-facture	52255903	2026-04-27	mtnrconcept	feat(admin): add mobile invoice detail access in compta inflow
remote	origin/codex/ajouter-revenus-compta-admin	8dd29e97	2026-05-16	RaphaÃ«l Barman	2
remote	origin/codex/ameliorer-la-responsivite-du-tableau	0e36235c	2026-04-27	mtnrconcept	Fix mobile invoice history responsiveness in admin and dashboard
remote	origin/codex/ameliorer-la-responsivite-du-tableau-des-factures	53084aa8	2026-04-26	mtnrconcept	Improve mobile responsiveness for invoice history tables
remote	origin/codex/analyser-faiblesses-pour-rivaliser	b6c1ce11	2026-03-27	RaphaÃ«l Barman	2
remote	origin/codex/audit-low-risk-cleanup	a1c5ea16	2026-06-03	RaphaÃ«l Barman	fix(audit): clean low-risk copy and dead code
remote	origin/codex/finalize-updates-for-tok-photo-studio	f1422646	2026-06-02	mtnrconcept	feat(photo): default TOK image generation to high quality
remote	origin/codex/fix-admin-dashboard-issues-for-restaurateur-accounts	9f72143b	2026-06-14	mtnrconcept	Fix restaurateur signup dossiers and roles
